Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-06-15 04:00:00,223.3,223.3,223.01,223.26,223.26,0,0,0.0
2020-06-15 04:02:00,222.99,222.99,222.53,222.53,222.53,0,0,0.0
2020-06-15 04:06:00,223.02,223.02,223.02,223.02,223.02,0,0,0.0
2020-06-15 04:08:00,223.0,223.27,223.0,223.0,223.0,0,0,0.0
2020-06-15 04:14:00,223.3,223.3,223.3,223.3,223.3,0,0,0.0
2020-06-15 04:18:00,223.5,223.5,223.5,223.5,223.5,0,0,0.0
2020-06-15 04:20:00,223.9,223.9,223.9,223.9,223.9,0,0,0.0
2020-06-15 04:32:00,224.2,224.2,224.2,224.2,224.2,0,0,0.0
2020-06-15 05:02:00,224.0,224.0,224.0,224.0,224.0,0,0,0.0
2020-06-15 05:26:00,224.5,224.79,224.5,224.79,224.79,0,0,0.0
2020-06-15 05:32:00,224.45,224.45,224.45,224.45,224.45,0,0,0.0
2020-06-15 05:38:00,224.59,224.6,224.59,224.6,224.6,0,0,0.0
2020-06-15 05:44:00,224.3,224.3,224.3,224.3,224.3,0,0,0.0
2020-06-15 05:50:00,224.6,225.0,224.6,225.0,225.0,0,0,0.0
2020-06-15 06:02:00,225.25,225.25,225.0,225.0,225.0,0,0,0.0
2020-06-15 06:08:00,224.88,224.88,224.88,224.88,224.88,0,0,0.0
2020-06-15 06:12:00,224.99,225.25,224.99,225.25,225.25,0,0,0.0
2020-06-15 06:16:00,225.0,225.0,225.0,225.0,225.0,0,0,0.0
2020-06-15 06:18:00,225.0,225.0,225.0,225.0,225.0,0,0,0.0
2020-06-15 06:52:00,224.81,224.81,224.81,224.81,224.81,0,0,0.0
2020-06-15 06:54:00,224.81,224.81,224.6,224.6,224.6,0,0,0.0
2020-06-15 07:00:00,224.54,225.04,224.3,224.32,224.32,0,0,0.0
2020-06-15 07:02:00,224.16,224.27,224.16,224.27,224.27,0,0,0.0
2020-06-15 07:06:00,224.15,224.25,224.12,224.25,224.25,0,0,0.0
2020-06-15 07:08:00,224.05,224.05,223.95,223.95,223.95,0,0,0.0
2020-06-15 07:10:00,224.3,224.3,224.3,224.3,224.3,0,0,0.0
2020-06-15 07:16:00,224.0,224.0,223.95,223.95,223.95,0,0,0.0
2020-06-15 07:18:00,224.0,224.0,223.95,223.95,223.95,0,0,0.0
2020-06-15 07:24:00,224.23,224.4,224.22,224.4,224.4,0,0,0.0
2020-06-15 07:26:00,224.89,225.2,224.89,225.2,225.2,0,0,0.0
2020-06-15 07:28:00,225.03,225.03,224.87,224.87,224.87,0,0,0.0
2020-06-15 07:32:00,224.87,224.87,224.87,224.87,224.87,0,0,0.0
2020-06-15 07:34:00,224.87,224.87,224.5,224.5,224.5,0,0,0.0
2020-06-15 07:36:00,224.84,224.84,224.55,224.79,224.79,0,0,0.0
2020-06-15 07:38:00,224.8,224.8,224.5,224.52,224.52,0,0,0.0
2020-06-15 07:40:00,224.7,224.7,224.7,224.7,224.7,0,0,0.0
2020-06-15 07:44:00,224.57,224.84,224.57,224.84,224.84,0,0,0.0
2020-06-15 07:46:00,224.85,225.0,224.85,225.0,225.0,0,0,0.0
2020-06-15 07:48:00,225.24,225.5,225.24,225.5,225.5,0,0,0.0
2020-06-15 07:50:00,225.15,225.21,225.15,225.21,225.21,0,0,0.0
2020-06-15 07:52:00,225.46,225.6,225.46,225.6,225.6,0,0,0.0
2020-06-15 07:54:00,225.25,225.25,225.24,225.24,225.24,0,0,0.0
2020-06-15 07:56:00,225.27,225.6,225.0,225.0,225.0,0,0,0.0
2020-06-15 07:58:00,225.33,225.33,225.33,225.33,225.33,0,0,0.0
2020-06-15 08:00:00,225.07,225.7,223.92,225.5,225.5,0,0,0.0
2020-06-15 08:02:00,225.0,225.01,225.0,225.0,225.0,0,0,0.0
2020-06-15 08:04:00,225.0,225.0,224.84,224.84,224.84,0,0,0.0
2020-06-15 08:06:00,225.02,225.02,225.02,225.02,225.02,0,0,0.0
2020-06-15 08:08:00,225.12,225.33,225.12,225.33,225.33,0,0,0.0
2020-06-15 08:10:00,225.0,225.0,225.0,225.0,225.0,0,0,0.0
2020-06-15 08:12:00,224.92,224.92,224.84,224.92,224.92,0,0,0.0
2020-06-15 08:14:00,224.92,224.92,224.85,224.85,224.85,0,0,0.0
2020-06-15 08:16:00,224.84,224.84,224.84,224.84,224.84,0,0,0.0
2020-06-15 08:18:00,224.8,224.89,224.75,224.89,224.89,0,0,0.0
2020-06-15 08:20:00,224.85,224.85,224.85,224.85,224.85,0,0,0.0
2020-06-15 08:22:00,225.0,225.0,224.75,224.75,224.75,0,0,0.0
2020-06-15 08:24:00,224.75,224.95,224.75,224.95,224.95,0,0,0.0
2020-06-15 08:26:00,224.96,224.96,224.96,224.96,224.96,0,0,0.0
2020-06-15 08:28:00,225.17,225.17,225.12,225.12,225.12,0,0,0.0
2020-06-15 08:30:00,225.48,225.48,225.12,225.12,225.12,0,0,0.0
2020-06-15 08:32:00,225.08,225.08,224.95,225.0,225.0,0,0,0.0
2020-06-15 08:34:00,225.0,225.0,225.0,225.0,225.0,0,0,0.0
2020-06-15 08:36:00,225.0,225.49,225.0,225.49,225.49,0,0,0.0
2020-06-15 08:38:00,225.3,225.5,225.15,225.5,225.5,0,0,0.0
2020-06-15 08:40:00,225.75,225.75,225.5,225.55,225.55,0,0,0.0
2020-06-15 08:42:00,225.24,225.24,225.24,225.24,225.24,0,0,0.0
2020-06-15 08:44:00,225.17,225.3,225.15,225.3,225.3,0,0,0.0
2020-06-15 08:46:00,225.1,225.4,225.1,225.35,225.35,0,0,0.0
2020-06-15 08:48:00,225.1,225.13,225.1,225.13,225.13,0,0,0.0
2020-06-15 08:52:00,225.25,225.25,224.99,225.0,225.0,0,0,0.0
2020-06-15 08:54:00,225.02,225.02,225.02,225.02,225.02,0,0,0.0
2020-06-15 08:56:00,225.2,225.2,225.2,225.2,225.2,0,0,0.0
2020-06-15 08:58:00,225.15,225.25,225.15,225.25,225.25,0,0,0.0
2020-06-15 09:00:00,225.0,225.0,225.0,225.0,225.0,0,0,0.0
2020-06-15 09:02:00,225.0,225.01,225.0,225.01,225.01,0,0,0.0
2020-06-15 09:04:00,225.21,225.25,225.0,225.2,225.2,0,0,0.0
2020-06-15 09:06:00,225.35,225.35,224.99,224.99,224.99,0,0,0.0
2020-06-15 09:08:00,225.0,225.15,224.96,225.15,225.15,0,0,0.0
2020-06-15 09:12:00,224.9,224.9,224.85,224.85,224.85,0,0,0.0
2020-06-15 09:14:00,224.85,225.0,224.85,225.0,225.0,0,0,0.0
2020-06-15 09:16:00,225.0,225.0,225.0,225.0,225.0,0,0,0.0
2020-06-15 09:18:00,224.98,224.98,224.98,224.98,224.98,0,0,0.0
2020-06-15 09:20:00,225.1,225.29,225.1,225.29,225.29,0,0,0.0
2020-06-15 09:22:00,225.31,225.45,225.1,225.3,225.3,0,0,0.0
2020-06-15 09:24:00,225.3,225.3,225.3,225.3,225.3,0,0,0.0
2020-06-15 09:26:00,225.32,225.32,225.32,225.32,225.32,0,0,0.0
2020-06-15 09:28:00,225.12,225.12,224.97,224.97,224.97,0,0,0.0
