Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-09-03 02:30:00,6.8373,6.8373,6.8373,6.8373,6.8373,0,0,0
2020-09-03 02:31:00,6.8328,6.832999999999999,6.8314,6.8314,6.8314,0,0,0
2020-09-03 02:32:00,6.8315,6.8315,6.8303,6.8309,6.8309,0,0,0
2020-09-03 02:33:00,6.8308,6.831,6.8308,6.831,6.831,0,0,0
2020-09-03 02:34:00,6.8311,6.8318,6.831,6.831,6.831,0,0,0
2020-09-03 02:35:00,6.83,6.83,6.8289,6.8289,6.8289,0,0,0
2020-09-03 02:36:00,6.8292,6.8295,6.8291,6.8293,6.8293,0,0,0
2020-09-03 02:37:00,6.8297,6.8298,6.8289,6.8291,6.8291,0,0,0
2020-09-03 02:38:00,6.8293,6.8295,6.8292,6.8293,6.8293,0,0,0
2020-09-03 02:39:00,6.8295,6.8296,6.8291,6.8292,6.8292,0,0,0
2020-09-03 02:40:00,6.8294,6.8298,6.8293,6.8298,6.8298,0,0,0
2020-09-03 02:41:00,6.8295,6.8301,6.8283,6.8298,6.8298,0,0,0
2020-09-03 02:42:00,6.8304,6.8305,6.8293,6.8301,6.8301,0,0,0
2020-09-03 02:43:00,6.8297,6.8298,6.8288,6.8297,6.8297,0,0,0
2020-09-03 02:44:00,6.8297,6.8298,6.8295,6.8297,6.8297,0,0,0
2020-09-03 02:45:00,6.8302,6.8302,6.8293,6.83,6.83,0,0,0
2020-09-03 02:46:00,6.8295,6.8295,6.8282,6.8282,6.8282,0,0,0
2020-09-03 02:47:00,6.827999999999999,6.8281,6.8274,6.8276,6.8276,0,0,0
2020-09-03 02:48:00,6.8278,6.827999999999999,6.827000000000001,6.8273,6.8273,0,0,0
2020-09-03 02:49:00,6.8272,6.8272,6.8264,6.8267,6.8267,0,0,0
2020-09-03 02:50:00,6.8261,6.8261,6.8251,6.8259,6.8259,0,0,0
2020-09-03 02:51:00,6.8262,6.8262,6.8255,6.8255,6.8255,0,0,0
2020-09-03 02:52:00,6.8254,6.8254,6.8246,6.8254,6.8254,0,0,0
2020-09-03 02:53:00,6.8255,6.8256,6.8248,6.8248,6.8248,0,0,0
2020-09-03 02:54:00,6.8245,6.8248,6.8242,6.8248,6.8248,0,0,0
2020-09-03 02:55:00,6.8247,6.8248,6.8239,6.8247,6.8247,0,0,0
2020-09-03 02:56:00,6.8249,6.825,6.824,6.825,6.825,0,0,0
2020-09-03 02:57:00,6.8253,6.8255,6.8245,6.8255,6.8255,0,0,0
2020-09-03 02:58:00,6.8246,6.8256,6.8246,6.8253,6.8253,0,0,0
2020-09-03 02:59:00,6.8253,6.8254,6.8244,6.825,6.825,0,0,0
2020-09-03 03:00:00,6.8252,6.8253,6.8242,6.8252,6.8252,0,0,0
2020-09-03 03:01:00,6.8252,6.8253,6.8243,6.8253,6.8253,0,0,0
2020-09-03 03:02:00,6.8253,6.8254,6.8242,6.8252,6.8252,0,0,0
2020-09-03 03:03:00,6.8254,6.8256,6.8245,6.8254,6.8254,0,0,0
2020-09-03 03:04:00,6.8258,6.8259,6.8247,6.8257,6.8257,0,0,0
2020-09-03 03:05:00,6.8260000000000005,6.8260000000000005,6.8248,6.8253,6.8253,0,0,0
2020-09-03 03:06:00,6.8255,6.8257,6.8246,6.8255,6.8255,0,0,0
2020-09-03 03:07:00,6.8258,6.8258,6.8247,6.8252,6.8252,0,0,0
2020-09-03 03:08:00,6.8246,6.8255,6.8243,6.8254,6.8254,0,0,0
2020-09-03 03:09:00,6.8256,6.8256,6.8245,6.8253,6.8253,0,0,0
2020-09-03 03:10:00,6.8254,6.8255,6.8244,6.8252,6.8252,0,0,0
2020-09-03 03:11:00,6.8254,6.8256,6.8254,6.8255,6.8255,0,0,0
2020-09-03 03:12:00,6.8256,6.8258,6.8255,6.8258,6.8258,0,0,0
2020-09-03 03:13:00,6.8257,6.8259,6.8248,6.8259,6.8259,0,0,0
2020-09-03 03:14:00,6.8258,6.8258,6.8248,6.8248,6.8248,0,0,0
2020-09-03 03:15:00,6.8247,6.8247,6.8239,6.824,6.824,0,0,0
2020-09-03 03:16:00,6.8244,6.8247,6.8235,6.8247,6.8247,0,0,0
2020-09-03 03:17:00,6.8248,6.8251,6.8239,6.8251,6.8251,0,0,0
2020-09-03 03:18:00,6.8251,6.8252,6.8241,6.8251,6.8251,0,0,0
2020-09-03 03:19:00,6.8253,6.8254,6.8243,6.8252,6.8252,0,0,0
2020-09-03 03:20:00,6.8255,6.8255,6.8251,6.8253,6.8253,0,0,0
2020-09-03 03:21:00,6.8253,6.8254,6.8242,6.8252,6.8252,0,0,0
2020-09-03 03:22:00,6.8254,6.8255,6.8244,6.8254,6.8254,0,0,0
2020-09-03 03:23:00,6.8255,6.8256,6.8245,6.8255,6.8255,0,0,0
2020-09-03 03:24:00,6.8255,6.8257,6.8244,6.8255,6.8255,0,0,0
2020-09-03 03:25:00,6.8257,6.8257,6.8245,6.825,6.825,0,0,0
2020-09-03 03:26:00,6.8253,6.8258,6.8242,6.8258,6.8258,0,0,0
2020-09-03 03:27:00,6.8260000000000005,6.8274,6.825,6.8274,6.8274,0,0,0
2020-09-03 03:28:00,6.8268,6.8269,6.8260000000000005,6.8266,6.8266,0,0,0
2020-09-03 03:29:00,6.827000000000001,6.8275,6.8261,6.8268,6.8268,0,0,0
2020-09-03 03:30:00,6.8271,6.8272,6.8262,6.8272,6.8272,0,0,0
2020-09-03 03:31:00,6.8273,6.8273,6.8268,6.8269,6.8269,0,0,0
2020-09-03 03:32:00,6.8274,6.8274,6.827000000000001,6.827000000000001,6.827000000000001,0,0,0
2020-09-03 03:33:00,6.8272,6.8273,6.8262,6.8272,6.8272,0,0,0
2020-09-03 03:34:00,6.8272,6.8273,6.8261,6.8262,6.8262,0,0,0
2020-09-03 03:35:00,6.8264,6.8265,6.8262,6.8264,6.8264,0,0,0
2020-09-03 03:36:00,6.8264,6.8264,6.8253,6.8253,6.8253,0,0,0
2020-09-03 03:37:00,6.8256,6.8256,6.8244,6.8248,6.8248,0,0,0
2020-09-03 03:38:00,6.8251,6.8255,6.8241,6.8252,6.8252,0,0,0
2020-09-03 03:39:00,6.8254,6.8255,6.8253,6.8253,6.8253,0,0,0
2020-09-03 03:40:00,6.8255,6.8255,6.8244,6.8255,6.8255,0,0,0
2020-09-03 03:41:00,6.8253,6.8258,6.8253,6.8258,6.8258,0,0,0
2020-09-03 03:42:00,6.8260000000000005,6.8260000000000005,6.8249,6.8258,6.8258,0,0,0
2020-09-03 03:43:00,6.8256,6.8259,6.8254,6.8259,6.8259,0,0,0
2020-09-03 03:44:00,6.8263,6.8263,6.8253,6.8261,6.8261,0,0,0
2020-09-03 03:45:00,6.8265,6.8265,6.8263,6.8263,6.8263,0,0,0
2020-09-03 03:46:00,6.8264,6.827000000000001,6.8264,6.827000000000001,6.827000000000001,0,0,0
2020-09-03 03:47:00,6.8272,6.8273,6.8262,6.8273,6.8273,0,0,0
2020-09-03 03:48:00,6.8273,6.8274,6.8266,6.8274,6.8274,0,0,0
2020-09-03 03:49:00,6.8275,6.8275,6.8265,6.8273,6.8273,0,0,0
2020-09-03 03:50:00,6.8276,6.8276,6.8267,6.8275,6.8275,0,0,0
2020-09-03 03:51:00,6.8275,6.8275,6.8266,6.8275,6.8275,0,0,0
2020-09-03 03:52:00,6.8275,6.8276,6.8267,6.8275,6.8275,0,0,0
2020-09-03 03:53:00,6.8273,6.8287,6.8273,6.8287,6.8287,0,0,0
2020-09-03 03:54:00,6.8287,6.8287,6.8278,6.8283,6.8283,0,0,0
2020-09-03 03:55:00,6.827999999999999,6.827999999999999,6.8274,6.8279,6.8279,0,0,0
2020-09-03 03:56:00,6.8281,6.8282,6.8273,6.8279,6.8279,0,0,0
2020-09-03 03:57:00,6.827999999999999,6.827999999999999,6.8269,6.8277,6.8277,0,0,0
2020-09-03 03:58:00,6.8279,6.827999999999999,6.8268,6.827999999999999,6.827999999999999,0,0,0
2020-09-03 03:59:00,6.827999999999999,6.8281,6.8271,6.827999999999999,6.827999999999999,0,0,0
2020-09-03 04:00:00,6.8279,6.827999999999999,6.827000000000001,6.8278,6.8278,0,0,0
2020-09-03 04:01:00,6.8281,6.8281,6.8276,6.8278,6.8278,0,0,0
2020-09-03 04:02:00,6.8278,6.8278,6.8267,6.8278,6.8278,0,0,0
2020-09-03 04:03:00,6.8278,6.8279,6.8269,6.8278,6.8278,0,0,0
2020-09-03 04:04:00,6.827999999999999,6.827999999999999,6.8278,6.8278,6.8278,0,0,0
2020-09-03 04:05:00,6.827999999999999,6.8281,6.827000000000001,6.8278,6.8278,0,0,0
2020-09-03 04:06:00,6.8281,6.8282,6.8271,6.8278,6.8278,0,0,0
2020-09-03 04:07:00,6.8281,6.8281,6.8278,6.8278,6.8278,0,0,0
2020-09-03 04:08:00,6.827999999999999,6.8291,6.827000000000001,6.829,6.829,0,0,0
2020-09-03 04:09:00,6.8292,6.8293,6.8281,6.8282,6.8282,0,0,0
2020-09-03 04:10:00,6.8285,6.8285,6.8275,6.8282,6.8282,0,0,0
2020-09-03 04:11:00,6.8283,6.8283,6.8272,6.827999999999999,6.827999999999999,0,0,0
2020-09-03 04:12:00,6.8283,6.8288,6.8274,6.8286,6.8286,0,0,0
2020-09-03 04:13:00,6.8288,6.8289,6.8277,6.8283,6.8283,0,0,0
2020-09-03 04:14:00,6.8285,6.8285,6.8275,6.8285,6.8285,0,0,0
2020-09-03 04:15:00,6.8283,6.8286,6.8283,6.8286,6.8286,0,0,0
2020-09-03 04:16:00,6.8286,6.8286,6.8276,6.8286,6.8286,0,0,0
2020-09-03 04:17:00,6.8284,6.829,6.8284,6.829,6.829,0,0,0
2020-09-03 04:18:00,6.8286,6.8291,6.8284,6.8291,6.8291,0,0,0
2020-09-03 04:19:00,6.8291,6.8296,6.8283,6.8296,6.8296,0,0,0
2020-09-03 04:20:00,6.8296,6.8297,6.8285,6.8297,6.8297,0,0,0
2020-09-03 04:21:00,6.8297,6.8297,6.8287,6.8295,6.8295,0,0,0
2020-09-03 04:22:00,6.8298,6.8298,6.8298,6.8298,6.8298,0,0,0
2020-09-03 04:23:00,6.8302,6.8302,6.8292,6.8301,6.8301,0,0,0
2020-09-03 04:24:00,6.8302,6.8302,6.83,6.8302,6.8302,0,0,0
2020-09-03 04:25:00,6.8302,6.8302,6.83,6.83,6.83,0,0,0
2020-09-03 04:26:00,6.8302,6.8302,6.83,6.83,6.83,0,0,0
2020-09-03 04:27:00,6.8302,6.8302,6.8292,6.8302,6.8302,0,0,0
2020-09-03 04:28:00,6.8302,6.8302,6.8291,6.8302,6.8302,0,0,0
2020-09-03 04:29:00,6.83,6.8302,6.83,6.83,6.83,0,0,0
2020-09-03 04:30:00,6.83,6.83,6.83,6.83,6.83,0,0,0
2020-09-03 04:31:00,6.83,6.8302,6.83,6.8302,6.8302,0,0,0
2020-09-03 04:32:00,6.83,6.83,6.83,6.83,6.83,0,0,0
2020-09-03 04:35:00,6.83,6.83,6.83,6.83,6.83,0,0,0
2020-09-03 04:36:00,6.83,6.8303,6.83,6.83,6.83,0,0,0
2020-09-03 04:37:00,6.8303,6.8303,6.83,6.83,6.83,0,0,0
2020-09-03 04:38:00,6.83,6.8302,6.8295,6.8295,6.8295,0,0,0
2020-09-03 04:39:00,6.8297,6.8302,6.8287,6.8302,6.8302,0,0,0
2020-09-03 04:40:00,6.8297,6.8302,6.8297,6.8302,6.8302,0,0,0
2020-09-03 04:41:00,6.8302,6.8302,6.8297,6.8297,6.8297,0,0,0
2020-09-03 04:42:00,6.8302,6.8302,6.8288,6.8297,6.8297,0,0,0
2020-09-03 04:43:00,6.8297,6.8302,6.8286,6.8302,6.8302,0,0,0
2020-09-03 04:44:00,6.8302,6.8302,6.8295,6.8295,6.8295,0,0,0
2020-09-03 04:45:00,6.8297,6.8297,6.8295,6.8295,6.8295,0,0,0
2020-09-03 04:46:00,6.8297,6.8302,6.8295,6.8295,6.8295,0,0,0
2020-09-03 04:47:00,6.8275,6.8301,6.8275,6.8299,6.8299,0,0,0
2020-09-03 04:48:00,6.8301,6.8302,6.8275,6.8298,6.8298,0,0,0
2020-09-03 04:49:00,6.8296,6.8302,6.8276,6.83,6.83,0,0,0
2020-09-03 04:50:00,6.8301,6.8302,6.8277,6.8302,6.8302,0,0,0
2020-09-03 04:51:00,6.8302,6.8302,6.8302,6.8302,6.8302,0,0,0
2020-09-03 04:52:00,6.8302,6.8302,6.8276,6.8277,6.8277,0,0,0
2020-09-03 04:53:00,6.8302,6.8302,6.8298,6.8302,6.8302,0,0,0
2020-09-03 04:54:00,6.8302,6.8303,6.8278,6.8303,6.8303,0,0,0
2020-09-03 04:55:00,6.8303,6.8303,6.827999999999999,6.827999999999999,6.827999999999999,0,0,0
2020-09-03 04:56:00,6.8303,6.8303,6.8278,6.83,6.83,0,0,0
2020-09-03 04:57:00,6.83,6.8302,6.8278,6.83,6.83,0,0,0
2020-09-03 04:58:00,6.8279,6.8301,6.8279,6.8301,6.8301,0,0,0
2020-09-03 04:59:00,6.83,6.8302,6.8278,6.8279,6.8279,0,0,0
2020-09-03 05:00:00,6.83,6.8302,6.8298,6.83,6.83,0,0,0
2020-09-03 05:01:00,6.8298,6.8302,6.8278,6.8302,6.8302,0,0,0
2020-09-03 05:02:00,6.83,6.8302,6.8278,6.8302,6.8302,0,0,0
2020-09-03 05:03:00,6.83,6.8302,6.8279,6.8302,6.8302,0,0,0
2020-09-03 05:04:00,6.8278,6.8302,6.8278,6.8302,6.8302,0,0,0
2020-09-03 05:05:00,6.8278,6.8302,6.8278,6.8302,6.8302,0,0,0
2020-09-03 05:06:00,6.8302,6.8302,6.8278,6.8278,6.8278,0,0,0
2020-09-03 05:07:00,6.8302,6.8302,6.8278,6.8278,6.8278,0,0,0
2020-09-03 05:08:00,6.83,6.8302,6.8278,6.83,6.83,0,0,0
2020-09-03 05:09:00,6.8298,6.83,6.8298,6.83,6.83,0,0,0
2020-09-03 05:10:00,6.83,6.83,6.8277,6.8298,6.8298,0,0,0
2020-09-03 05:11:00,6.83,6.83,6.8277,6.83,6.83,0,0,0
2020-09-03 05:12:00,6.8277,6.83,6.8277,6.83,6.83,0,0,0
2020-09-03 05:13:00,6.8298,6.83,6.8277,6.83,6.83,0,0,0
2020-09-03 05:14:00,6.8278,6.83,6.8277,6.8298,6.8298,0,0,0
2020-09-03 05:15:00,6.8282,6.8325,6.8282,6.8301,6.8301,0,0,0
2020-09-03 05:16:00,6.8333,6.8337,6.8311,6.8335,6.8335,0,0,0
2020-09-03 05:17:00,6.8337,6.8337,6.8315,6.8315,6.8315,0,0,0
2020-09-03 05:18:00,6.8336,6.8339,6.8313,6.8339,6.8339,0,0,0
2020-09-03 05:19:00,6.8339,6.834,6.8313,6.8333,6.8333,0,0,0
2020-09-03 05:20:00,6.8335,6.8336,6.8315,6.8334,6.8334,0,0,0
2020-09-03 05:21:00,6.8336,6.8337,6.8321,6.8334,6.8334,0,0,0
2020-09-03 05:22:00,6.8336,6.834,6.8321,6.8338,6.8338,0,0,0
2020-09-03 05:23:00,6.834,6.8341,6.8323,6.8338,6.8338,0,0,0
2020-09-03 05:24:00,6.8338,6.8345,6.8323,6.8326,6.8326,0,0,0
2020-09-03 05:25:00,6.8352,6.8358,6.8334,6.8334,6.8334,0,0,0
2020-09-03 05:26:00,6.8356,6.8359,6.8337,6.8358,6.8358,0,0,0
2020-09-03 05:27:00,6.8359,6.8359,6.8334,6.8334,6.8334,0,0,0
2020-09-03 05:28:00,6.8356,6.8357,6.8333,6.8355,6.8355,0,0,0
2020-09-03 05:29:00,6.8355,6.8355,6.8333,6.8352,6.8352,0,0,0
2020-09-03 05:30:00,6.8334,6.8354,6.8333,6.8352,6.8352,0,0,0
2020-09-03 05:31:00,6.8335,6.8355,6.8335,6.8352,6.8352,0,0,0
2020-09-03 05:32:00,6.8356,6.8362,6.8337,6.8355,6.8355,0,0,0
2020-09-03 05:33:00,6.8363,6.8369,6.8343,6.8369,6.8369,0,0,0
2020-09-03 05:34:00,6.8369,6.837000000000001,6.8343,6.8369,6.8369,0,0,0
2020-09-03 05:35:00,6.8363,6.8365,6.8344,6.8346,6.8346,0,0,0
2020-09-03 05:36:00,6.8365,6.8365,6.8343,6.8363,6.8363,0,0,0
2020-09-03 05:37:00,6.8365,6.8365,6.8344,6.8344,6.8344,0,0,0
2020-09-03 05:38:00,6.8346,6.8365,6.8343,6.8365,6.8365,0,0,0
2020-09-03 05:39:00,6.8363,6.8365,6.8343,6.8365,6.8365,0,0,0
2020-09-03 05:40:00,6.8344,6.8365,6.8344,6.8365,6.8365,0,0,0
2020-09-03 05:41:00,6.8365,6.8365,6.8341,6.8365,6.8365,0,0,0
2020-09-03 05:42:00,6.8361,6.8363,6.8336,6.8341,6.8341,0,0,0
2020-09-03 05:43:00,6.836,6.8363,6.8339,6.8363,6.8363,0,0,0
2020-09-03 05:44:00,6.836,6.8365,6.8343,6.8363,6.8363,0,0,0
2020-09-03 05:45:00,6.8348,6.8376,6.8348,6.8363,6.8363,0,0,0
2020-09-03 05:46:00,6.8383,6.8391,6.8363,6.8367,6.8367,0,0,0
2020-09-03 05:47:00,6.8392,6.8392,6.8363,6.8363,6.8363,0,0,0
2020-09-03 05:48:00,6.8391,6.8399,6.8363,6.8399,6.8399,0,0,0
2020-09-03 05:49:00,6.8381,6.8402,6.8381,6.8399,6.8399,0,0,0
2020-09-03 05:50:00,6.8401,6.8402,6.8363,6.837999999999999,6.837999999999999,0,0,0
2020-09-03 05:51:00,6.8401,6.8402,6.8363,6.8401,6.8401,0,0,0
2020-09-03 05:52:00,6.8401,6.8401,6.8363,6.8363,6.8363,0,0,0
2020-09-03 05:53:00,6.8402,6.8402,6.8363,6.8363,6.8363,0,0,0
2020-09-03 05:54:00,6.8401,6.8401,6.8363,6.8388,6.8388,0,0,0
2020-09-03 05:55:00,6.8389999999999995,6.8391,6.8363,6.8388,6.8388,0,0,0
2020-09-03 05:56:00,6.8389999999999995,6.8391,6.8373,6.8388,6.8388,0,0,0
2020-09-03 05:57:00,6.8363,6.8363,6.8363,6.8363,6.8363,0,0,0
2020-09-03 05:58:00,6.8391,6.8391,6.8363,6.8363,6.8363,0,0,0
2020-09-03 05:59:00,6.8391,6.8391,6.8363,6.8363,6.8363,0,0,0
2020-09-03 06:00:00,6.8392,6.8392,6.8363,6.8389999999999995,6.8389999999999995,0,0,0
2020-09-03 06:01:00,6.8363,6.8411,6.8363,6.8411,6.8411,0,0,0
2020-09-03 06:02:00,6.8413,6.8413,6.8374,6.841,6.841,0,0,0
2020-09-03 06:03:00,6.8408,6.8413,6.8389,6.8413,6.8413,0,0,0
2020-09-03 06:04:00,6.841,6.841,6.841,6.841,6.841,0,0,0
2020-09-03 06:05:00,6.841,6.841,6.8387,6.8406,6.8406,0,0,0
2020-09-03 06:06:00,6.8401,6.841,6.8379,6.841,6.841,0,0,0
2020-09-03 06:07:00,6.8396,6.8397,6.8378,6.8394,6.8394,0,0,0
2020-09-03 06:08:00,6.8396,6.8396,6.8394,6.8394,6.8394,0,0,0
2020-09-03 06:09:00,6.8396,6.8396,6.8394,6.8394,6.8394,0,0,0
2020-09-03 06:10:00,6.8394,6.8394,6.8394,6.8394,6.8394,0,0,0
2020-09-03 06:11:00,6.8394,6.8394,6.8394,6.8394,6.8394,0,0,0
2020-09-03 06:12:00,6.8394,6.8396,6.8376,6.8394,6.8394,0,0,0
2020-09-03 06:13:00,6.8396,6.8396,6.8374,6.8385,6.8385,0,0,0
2020-09-03 06:14:00,6.8385,6.8388,6.8371,6.8372,6.8372,0,0,0
2020-09-03 06:15:00,6.8388,6.8388,6.837000000000001,6.837000000000001,6.837000000000001,0,0,0
2020-09-03 06:16:00,6.8384,6.8384,6.8382,6.8382,6.8382,0,0,0
2020-09-03 06:17:00,6.8382,6.8383,6.8381,6.8382,6.8382,0,0,0
2020-09-03 06:18:00,6.8384,6.8384,6.8369,6.8384,6.8384,0,0,0
2020-09-03 06:19:00,6.8384,6.8385,6.8365,6.8382,6.8382,0,0,0
2020-09-03 06:20:00,6.8384,6.8385,6.8382,6.8384,6.8384,0,0,0
2020-09-03 06:21:00,6.8385,6.8385,6.8366,6.8382,6.8382,0,0,0
2020-09-03 06:22:00,6.8383,6.8384,6.8382,6.8382,6.8382,0,0,0
2020-09-03 06:23:00,6.8383,6.8385,6.8382,6.8382,6.8382,0,0,0
2020-09-03 06:24:00,6.8385,6.8385,6.8382,6.8384,6.8384,0,0,0
2020-09-03 06:25:00,6.8384,6.8385,6.8384,6.8385,6.8385,0,0,0
2020-09-03 06:26:00,6.8384,6.8385,6.8368,6.8385,6.8385,0,0,0
2020-09-03 06:27:00,6.8385,6.8387,6.8367,6.8387,6.8387,0,0,0
2020-09-03 06:28:00,6.8386,6.8392,6.8372,6.8372,6.8372,0,0,0
2020-09-03 06:29:00,6.8393,6.8393,6.8391,6.8392,6.8392,0,0,0
2020-09-03 06:30:00,6.8392,6.8392,6.8391,6.8391,6.8391,0,0,0
2020-09-03 06:31:00,6.8392,6.84,6.8373,6.8373,6.8373,0,0,0
2020-09-03 06:32:00,6.8399,6.84,6.8397,6.8397,6.8397,0,0,0
2020-09-03 06:33:00,6.8399,6.8414,6.837999999999999,6.8413,6.8413,0,0,0
2020-09-03 06:34:00,6.8414,6.8414,6.8384,6.8398,6.8398,0,0,0
2020-09-03 06:35:00,6.8401,6.8402,6.8382,6.84,6.84,0,0,0
2020-09-03 06:36:00,6.84,6.84,6.8376,6.8385,6.8385,0,0,0
2020-09-03 06:37:00,6.8388,6.8399,6.8368,6.8385,6.8385,0,0,0
2020-09-03 06:38:00,6.8386,6.8399,6.8367,6.8368,6.8368,0,0,0
2020-09-03 06:39:00,6.8387,6.8399,6.8367,6.8389999999999995,6.8389999999999995,0,0,0
2020-09-03 06:40:00,6.8389,6.8399,6.8369,6.8391,6.8391,0,0,0
2020-09-03 06:41:00,6.8391,6.8399,6.8371,6.8389999999999995,6.8389999999999995,0,0,0
